Draw Date,One,Two,Three,Four,Five,Six,Jackpot
14-May-14,10,4,22,8,39,44,$1.8 Million
10-May-14,25,10,41,38,20,32,$1.7 Million
7-May-14,23,36,40,30,34,29,$1.6 Million
3-May-14,14,12,32,37,34,6,$1.5 Million
30-Apr-14,38,19,44,35,4,11,$1.4 Million
26-Apr-14,2,6,39,13,27,38,$1.3 Million
23-Apr-14,4,8,39,21,7,13,$1.2 Million
19-Apr-14,17,20,15,3,27,1,$1.1 Million
16-Apr-14,13,44,26,16,23,9,$1.0 Million
12-Apr-14,17,29,13,9,21,3,$2.5 Million
9-Apr-14,9,4,30,13,43,1,$2.4 Million
5-Apr-14,17,20,11,15,3,4,$2.3 Million
2-Apr-14,15,7,31,19,22,13,$2.2 Million
29-Mar-14,42,25,12,34,6,35,$2.1 Million
26-Mar-14,12,9,37,30,2,14,$2.0 Million
22-Mar-14,27,31,21,32,40,4,$1.9 Million
19-Mar-14,28,24,15,42,40,10,$1.8 Million
15-Mar-14,14,18,11,12,6,33,$1.7 Million
12-Mar-14,43,32,1,4,13,3,$1.6 Million
8-Mar-14,38,34,35,1,23,31,$1.5 Million
5-Mar-14,23,26,36,21,40,7,$1.4 Million
1-Mar-14,40,8,15,22,1,18,$1.3 Million
26-Feb-14,19,43,29,39,7,40,$1.2 Million
22-Feb-14,38,27,22,39,16,26,$1.1 Million
19-Feb-14,32,39,44,25,9,19,$1.0 Million
15-Feb-14,40,7,16,11,18,8,$2.3 Million
12-Feb-14,9,12,27,33,15,4,$2.2 Million
8-Feb-14,17,37,11,2,7,12,$2.1 Million
5-Feb-14,40,31,34,4,21,35,$2.0 Million
1-Feb-14,9,20,42,28,15,41,$1.9 Million
29-Jan-14,30,19,26,43,36,41,$1.8 Million
